program_name,program_url
"Honours BA Film Studies, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7356&s=1151&y=92
Honours BA Financial Mathematics and Analytics,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7151&s=1152&y=92
Honours BA Financial Mathematics and Analytics and Honours Bachelor of Business Administration,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7157&s=1152&y=92
Honours BA French,https://academic-calendar.wlu.ca/program.php?cal=1&d=3104&p=7055&s=1151&y=92
Honours BA French in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3104&p=7056&s=1151&y=92
"Honours BA French, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3104&p=7059&s=1151&y=92
Honours BA Game Design and Development,https://academic-calendar.wlu.ca/program.php?cal=1&d=3190&p=7308&s=1165&y=92
Honours BA Game Design and Development in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3190&p=7309&s=1165&y=92
Honours BA Geography,https://academic-calendar.wlu.ca/program.php?cal=1&d=3112&p=7076&s=1152&y=92
Honours BA Geography in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3112&p=7078&s=1152&y=92
Honours BA Global Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3083&p=7016&s=1151&y=92
Honours BA Global Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3083&p=7017&s=1151&y=92
Honours BA Global Studies with Concentrations,https://academic-calendar.wlu.ca/program.php?cal=1&d=3083&p=7021&s=1151&y=92
"Honours BA Global Studies, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3083&p=7022&s=1151&y=92
Honours BA Health Management (Admission Suspended),https://academic-calendar.wlu.ca/program.php?cal=1&d=3184&p=7297&s=1165&y=92
Honours BA Health Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3184&p=7294&s=1165&y=92
Honours BA Health Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3184&p=7295&s=1165&y=92
Honours BA History,https://academic-calendar.wlu.ca/program.php?cal=1&d=3084&p=7023&s=1151&y=92
Honours BA History,https://academic-calendar.wlu.ca/program.php?cal=1&d=3143&p=7210&s=1153&y=92
